article_id,article_title,pattern_slug,case_company_name,ticker,approx_date,original_approx_date,corrected_approx_date,date_uncertainty_days,case_source,case_kind,expected_detect,vision_evidence,notes,date_autocorrected,real_miss,chart_cursor_date,pattern_circle_date,corrected_approx_date_v4,date_correction_method,vision_evidence_v4,actual_slug,hit,reason,hit_dates
0B1DD310D7685EE74123E5147BB7CFB2,25-升降組合型態,step_up_down,晶技,3042,2020-01-14,2020-01-14,2020-01-14 00:00:00,3,article_text,context_only,,資料起點問題（MISS_DIAGNOSIS D2）,[DB_OK name=晶技] 勢的整理，使得籌碼略顯凌亂，對於不穩定的力量，短線交易者在創新高價之後也會選擇出場，這是股價在突破往上升的時候，成交量異常放大的主因。  **109-01-14,False,,2020-01-14,,2020-01-14 00:00:00,unchanged,資料起點問題（MISS_DIAGNOSIS D2）,rising_falling,False,no_trigger_in_window,
0B1DD310D7685EE74123E5147BB7CFB2,25-升降組合型態,step_up_down,三洋電,1614,2022-02-18,2022-02-18,2022-02-18 00:00:00,14,article_text,confirmed_signal,True,升降型態但成交量太低，僅概念示範，date=圖示日,[DB_OK name=三洋電] 個價位對於市場資金的吸引力也已經不高。  經過這樣的例子，還可以區分為第一次攻擊或者已經中期多方趨勢之後，力量施展的角度當然大不相同。  **111-02-18,False,False,2022-02-18,2022-02-18,2022-02-18 00:00:00,unchanged,升降型態但成交量太低，僅概念示範，date=圖示日,rising_falling,True,hit,2022-02-18
161D653D96BB64939DE424B8B5162815,20-懷抱型態,harami_neutral,凌陽,2401,2022-02-18,2022-02-18,2022-02-18 00:00:00,14,article_text,confirmed_signal,True,懷抱型態標準例，多方無力拉抬後孕線出現,[DB_OK name=凌陽] 則需要追高意願，所以並不是出現就可以直接判定為反向變化，幅度上多方也不見得會有明顯的拉抬，單純了解力量，已經可以幫助操作時的短期決策。  **111-02-18,False,False,2022-02-18,2022-02-18,2022-02-18 00:00:00,unchanged,懷抱型態標準例，多方無力拉抬後孕線出現,embracing,True,hit,"2022-02-21,2022-02-23"
161D653D96BB64939DE424B8B5162815,20-懷抱型態,harami_neutral,台勝科,3532,2022-02-18,2022-02-18,2022-02-18 00:00:00,14,article_text,confirmed_signal,True,懷抱型態有量，多方抵抗意願存在,[DB_OK name=台勝科] 圖之中，往往很容易就只有一日行情，特別是成交量萎縮的狀態下，紅K懷抱黑K，常常會是空方取得優勢，因為本來就是處在多方無力拉抬的狀態中。  **111-02-18,False,False,2022-02-18,2022-02-18,2022-02-18 00:00:00,unchanged,懷抱型態有量，多方抵抗意願存在,embracing,True,hit,2022-02-23
161D653D96BB64939DE424B8B5162815,20-懷抱型態,harami_neutral,和益,1709,2022-03-09,2022-02-18,2022-03-09,14,article_text,confirmed_signal,True,長紅後孕線，懷抱型態前半段，為 internal_trap 先導,[DB_OK name=和益] 。  懷抱型態搭配成交量往往會有不一樣的理解，假如同樣的狀態卻沒有放量，那麼這個懷抱型態因為黑K不屬於力量型，也就沒有太大的抵抗意義。  **111-02-18,True,False,2022-02-18,2022-02-18,2022-03-09,unchanged,長紅後孕線，懷抱型態前半段，為 internal_trap 先導,embracing,True,hit,"2022-03-09,2022-03-23"
207FAB90A1222E9DCD7CCE2A26AB19B7,22-反撲型態,counterattack_pattern,同致,3552,2022-02-18,2022-02-18,2022-02-18 00:00:00,14,article_text,confirmed_signal,True,利多消息反撲，article明示此為反撲型態,[DB_OK name=同致] 一種強勢的反轉，但並不是。  因為是出現利多消息的反撲型態，股價通常會很快又回到原本的軌道，這一點與因為利多而出現的跳空缺口意義相同。  **111-02-18,False,False,2022-02-18,2022-02-18,2022-02-18 00:00:00,unchanged,利多消息反撲，article明示此為反撲型態,rebound,True,hit,2022-02-15
29F3734E9FE458A7138B770EB29C29F8,13-晨星與島狀反轉,island_reversal_bull,南帝,2108,2022-03-09,2022-03-09,2022-03-09 00:00:00,3,article_text,setup_only,False,文章明示因利多跳空+上方有壓力→島狀反轉會失敗,[DB_OK name=南帝] 發現了島狀反轉，有兩件事情一定要先做：  **一、確認K線圖上最近且明顯的賣壓何在。   二、從營運面理解空頭趨勢早早成型的主因。**  **111-03-09,False,,2022-03-09,,2022-03-09 00:00:00,unchanged,文章明示因利多跳空+上方有壓力→島狀反轉會失敗,morning_star_island_reversal,False,no_trigger_in_window,
29F3734E9FE458A7138B770EB29C29F8,13-晨星與島狀反轉,island_reversal_bull,南帝,2108,2022-04-25,2022-04-25,2022-04-25 00:00:00,3,article_text,context_only,,回顧當初分析結論，非新的pattern觸發日,[DB_OK name=南帝] 出，營收盈餘馬上就受到大幅影響，申豐尤為嚴重且明顯，那麼，島狀反轉出現的南帝，倘若賣壓天險明顯的存在，是否是搶反彈的優選呢？值得深思。  **111-04-25,False,,2022-04-25,,2022-04-25 00:00:00,unchanged,回顧當初分析結論，非新的pattern觸發日,morning_star_island_reversal,False,no_trigger_in_window,
2BA211D9CB1514E34D087249F9D627B7,18-包覆型態,engulfing_pattern_neutral,界霖,5285,2021-11-15,2022-02-18,2021-11-15,14,article_text,confirmed_signal,True,包覆型態（非力竭位置），天險賣壓,[DB_OK name=界霖] 要留意當時的組合出現後一段時間，股價是否開始進入盤整階段，往往等到盤整區跌破之後，會是空頭趨勢的開始，因為區間低點等於與頸線定義相符。  **111-02-18,False,False,2022-02-18,2021-11-15,2021-11-15,vision_circle_position,圖03 cursor 111/2/18，藍圈在110/11高峰包覆位置,neutral_engulfing,True,hit,2021-11-02
2BA211D9CB1514E34D087249F9D627B7,18-包覆型態,engulfing_pattern_neutral,事新科,4916,2021-11-23,2022-02-18,2021-11-23,14,article_text,confirmed_signal,True,黑K包覆紅K，有量套牢區天險,[DB_OK name=事欣科] 大的難度，輔以成交量一併判斷，就是確認有著大量套牢區的存在。  短線交易更不需要考量，因為天險存在等於風險明顯大於機會，並不值得參與。  **111-02-18,False,True,2022-02-18,2021-11-23,2021-11-23,vision_circle_position,圖04 cursor 111/2/18，藍圈在110/11-12高峰包覆位置,neutral_engulfing,True,hit,2021-11-23
